mMed,yukawa,N_generated,NA_0SVJ,NA_1SVJ,NA_2SVJ,NA_3PSVJ,NA_Inclusive,eff_0SVJ,eff_1SVJ,eff_2SVJ,eff_3PSVJ,eff_Inclusive
3500,1.5,13890.55720217526,5.008359884377569,33.07566284504719,39.09753925353289,24.623671267181635,101.80523325013928,0.0003605586018963487,0.0023811617031365413,0.002814684730387217,0.001772691398105007,0.007329096433525114
3500,2.0,44127.00302809477,13.714624885004014,103.94492445513606,143.8118693754077,69.89745949208736,331.36887820763513,0.0003107989200234648,0.00235558540852993,0.003259044564704419,0.001584006497055444,0.0075094353903132575
3500,2.5,105717.22020566463,42.73549946397543,249.76284364052117,306.0316740721464,175.00818413496017,773.5382013116032,0.00040424350338418697,0.0023625559124107404,0.0028948138579200774,0.0016554368701191288,0.007317050143834133
3500,3.0,215738.1536602974,77.03653578460217,417.3642563521862,739.5154851526022,416.6768950819969,1650.5931723713875,0.00035708350367132726,0.0019345871338519495,0.0034278382038860303,0.0019314010434060675,0.007650909884815375
3500,3.5,390508.09698820114,173.32634214684367,949.1360442824662,1171.9552385807037,696.3742790818214,2990.791904091835,0.0004438482671258941,0.0024305156579407456,0.0030011035561603562,0.0017832518312747348,0.007658719312501731
4000,0.5,103.68950086529367,0.0454414668056414,0.2715594712262826,0.4189168132288613,0.1984142466681077,0.934331997928893,0.0004382455931066334,0.0026189678700360816,0.0040401083015443335,0.001913542306716993,0.009010864071404041
4000,1.0,1634.5886925887316,0.3475447394303045,3.1213176388991997,5.482553525362164,2.9867957428796217,11.93821164657129,0.00021261907720644438,0.0019095431487146195,0.0033540875146268944,0.0018272460567125128,0.007303495797260471
4000,1.5,8310.883636064827,2.757100577233359,17.95994029287249,31.384247534908354,13.770344704389572,65.87163310940377,0.00033174578034867494,0.002161014529783075,0.003776282873065069,0.001656905006422371,0.00792594818961919
4000,2.0,26332.74848535657,7.706222737208009,52.944340605288744,90.6442512460053,42.01049862243235,193.3053132109344,0.00029264786930590926,0.0020105892339620634,0.003442263206835847,0.0015953708229808998,0.007340871133084719
4000,2.5,63342.05918073654,18.901237662881613,137.6123777050525,213.6246961839497,96.38608427345753,466.52439582534134,0.0002983994822294918,0.0021725276930514266,0.003372556859485819,0.001521675889923867,0.007365159924690604
4000,3.0,128987.69090354443,49.82890651375055,270.5416858494282,425.7368981987238,203.00766449794173,949.1151550598443,0.00038630745433695734,0.00209742250562293,0.00330060097375559,0.001573853001599576,0.007358183935315054
4000,3.5,232842.74527549744,73.66482351720333,494.9199752472341,742.554270029068,473.7525089010596,1784.891577694565,0.0003163715641217156,0.0021255546298496407,0.0031890805494089345,0.0020346457792383434,0.007665652522618634
