mMed,mDark,N_generated,NA_0SVJ,NA_1SVJ,NA_2SVJ,NA_3PSVJ,NA_Inclusive,eff_0SVJ,eff_1SVJ,eff_2SVJ,eff_3PSVJ,eff_Inclusive
4000,10,1634.5890482980758,0.9943859389750286,4.74029452376999,3.9605890818638727,1.8901681960560381,11.58543774066493,0.0006083400228396105,0.002899991608719975,0.0024229876530664474,0.0011563568213209736,0.007087676105947007
4000,20,1634.5886925887316,0.3475447394303045,3.1213176388991997,5.482553525362164,2.9867957428796217,11.93821164657129,0.00021261907720644438,0.0019095431487146195,0.0033540875146268944,0.0018272460567125128,0.007303495797260471
4000,30,1634.5887264050543,0.7545756036415696,4.26297084975522,6.159159849397838,2.923446277156472,14.1001525799511,0.00046163025074882615,0.0026079776404250373,0.0037680180646685714,0.0017884904195968596,0.008626116375439294
4000,40,1634.588922308758,0.7949728383100592,3.901873767725192,5.874306391284335,2.7114311950281262,13.282584192347713,0.00048634419789607295,0.0023870673014313787,0.0035937514999105913,0.001658784761124157,0.0081259477603622
4000,50,1634.5887099206448,1.431839651602786,5.561601886176504,6.07671026349999,3.130764683271991,16.20091648455127,0.0008759632578597085,0.0034024472654326033,0.003717577532879815,0.001915322591102432,0.009911310647274558
4000,60,1634.5889981929213,1.256277542677708,6.200077288900502,6.7939421847695485,3.1167583737988025,17.36705539014656,0.0007685586676935633,0.0037930496875696836,0.004156361135600705,0.0019067535492068382,0.01062472304007079
4000,70,1634.5887101162225,2.517375075723976,7.062371525447816,6.725555399199949,2.7074014162644744,19.012703416636214,0.0015400663543950364,0.004320580144558607,0.004114524563626619,0.0016563196598072508,0.011631490722387512
4000,80,1634.5890889130533,2.5852968803374097,7.850400257622823,5.671209106745664,2.581323274411261,18.688229519117158,0.0015816188287764389,0.004802675064253044,0.0034695013843000916,0.0015791878778095565,0.011432983155139131
4000,90,1634.5889115799218,3.5171435225056484,7.5442633158527315,6.063051583711058,2.123317851452157,19.247776273521595,0.002151699119937215,0.004615388775983301,0.0037092210406901504,0.0012989919584122536,0.011775300895022921
4000,100,1634.5888860151172,3.626259587937966,8.053333170770202,5.638992448570207,1.6957977896090597,19.014382996887434,0.0022184535934159223,0.004926824866895444,0.0034497924810422674,0.0010374460539390798,0.011632516995292714
